# Z80 opcode table
#  Original data from the FUSE emulator (fuse-emulator.sf.net)
#  Adapted for SPASM by Donald Straney 5/6/2007 with much help from GNU sed

# Column order:
# 1. Opcode
# 2. Args
# 3. Opcode data
# 4. Extra data (optional)
#        If the arguments contain a bit number (^), this is or'ed with
#        the shifted bit number, which is added to the end of the args.
#        Otherwise, this is written after all the other opcode and arg data.

# Special args:
# "" = no args
# * = 16-bit number
# & = 8-bit number
# % = 8-bit address offset
# @ = 8-bit +/- IX/IY offset
# ^ = bit number (0-7)


NOP ""   00
LD SP,HL   F9
LD A,I  57ED
LD A,R  5FED
IN A,(C)  78ED
OUT (C),A  79ED
LD IXH,B  60DD
LD IYH,B  60FD
LD IXH,C  61DD
LD IYH,C  61FD
LD IXH,D  62DD
LD IYH,D  62FD
LD IXH,E  63DD
LD IYH,E  63FD
LD IXH,IXH  64DD
LD IYH,IYH  64FD
LD IXH,IXL  65DD
LD IYH,IYL  65FD
LD H,(IX@)  66DD
LD H,(IY@)  66FD
LD IXH,A  67DD
LD IYH,A  67FD
LD IXL,B  68DD
LD IYL,B  68FD
LD IXL,C  69DD
LD IYL,C  69FD
LD IXL,D  6ADD
LD IYL,D  6AFD
LD IXL,E  6BDD
LD IYL,E  6BFD
LD IXL,IXH  6CDD
LD IYL,IYH  6CFD
LD IXL,IXL  6DDD
LD IYL,IYL  6DFD
LD L,(IX@)  6EDD
LD L,(IY@)  6EFD
LD IXL,A  6FDD
LD IYL,A  6FFD
RLC B,(IX@)  CBDD  00
RLC B,(IY@)  CBFD  00
RLC C,(IX@)  CBDD  01
RLC C,(IY@)  CBFD  01
RLC D,(IX@)  CBDD  02
RLC D,(IY@)  CBFD  02
RLC E,(IX@)  CBDD  03
RLC E,(IY@)  CBFD  03
RLC H,(IX@)  CBDD  04
RLC H,(IY@)  CBFD  04
RLC L,(IX@)  CBDD  05
RLC L,(IY@)  CBFD  05
RLC (IX@) CBDD  06
RLC (IY@) CBFD  06
RLC A,(IX@)  CBDD  07
RLC A,(IY@)  CBFD  07
RRC B,(IX@)  CBDD  08
RRC B,(IY@)  CBFD  08
RRC C,(IX@)  CBDD  09
RRC C,(IY@)  CBFD  09
RRC D,(IX@)  CBDD  0A
RRC D,(IY@)  CBFD  0A
RRC E,(IX@)  CBDD  0B
RRC E,(IY@)  CBFD  0B
RRC H,(IX@)  CBDD  0C
RRC H,(IY@)  CBFD  0C
RRC L,(IX@)  CBDD  0D
RRC L,(IY@)  CBFD  0D
RRC (IX@) CBDD  0E
RRC (IY@) CBFD  0E
RRC A,(IX@)  CBDD  0F
RRC A,(IY@)  CBFD  0F
RL B,(IX@)  CBDD  10
RL B,(IY@)  CBFD  10
RL C,(IX@)  CBDD  11
RL C,(IY@)  CBFD  11
RL D,(IX@)  CBDD  12
RL D,(IY@)  CBFD  12
RL E,(IX@)  CBDD  13
RL E,(IY@)  CBFD  13
RL H,(IX@)  CBDD  14
RL H,(IY@)  CBFD  14
RL L,(IX@)  CBDD  15
RL L,(IY@)  CBFD  15
RL (IX@) CBDD  16
RL (IY@) CBFD  16
RL A,(IX@)  CBDD  17
RL A,(IY@)  CBFD  17
